#Used ID	Final ID
D1S1656	D1S1656
TPOX	TPOX
D2S441	D2S441
D2S1338	D2S1338
D3S1358	D3S1358
D3S3045	D3S3045
FGA	FGA
D5S818	D5S818
CSF1PO	CSF1PO
D6S477	D6S477
D6S1043	D6S1043
D7S820	D7S820
D8S1132	D8S1132
D8S1179	D8S1179
D10S1435	D10S1435
D10S1248	D10S1248
TH01	TH01
vWA	vWA
D12S391	D12S391
D13S317	D13S317
D15S659	D15S659
PentaE	Penta E
D16S539	D16S539
D18S51	D18S51
D19S253	D19S253
D19S433	D19S433
D21S11	D21S11
PentaD	Penta D
D22S1045	D22S1045
DYS393	DYS393
DYS456	DYS456
Amelogenin	Amelogenin
DYS570	DYS570
DYS576	DYS576
DYS458	DYS458
DYS449	DYS449
DYS596	DYS596
DYS481	DYS481
DYS627	DYS627
DYS19	DYS19
DYS391	DYS391
DYS635	DYS635
DYS437	DYS437
DYS439	DYS439
DYS389I	DYS389I
DYS389II	DYS389II
DYS438	DYS438
DYS447	DYS447
DYS390	DYS390
DYS518	DYS518
DYS643	DYS643
DYS533	DYS533
Y-GATA-H4	Y_GATA_H4
DYS444	DYS444
DYS385	DYS385
DYS460	DYS460
DYS549	DYS549
DYS392	DYS392
DYS557	DYS557
DYS448	DYS448
DYS527	DYS527
DYF387S1	DYF387S1
